answer_relevancy,faithfulness,context_recall,context_precision,answer_correctness,answer_similarity
0.7998420958834701,0.0,1.0,0.9999999999,0.11770688404591508,0.4708275361836603
0.9687059807978149,1.0,1.0,0.9999999999,0.63937114788732,0.8431988772635657
0.6749130611239638,0.8,1.0,0.9999999999,0.770343171864894,0.8995545056413943
0.9778741839443749,0.0,1.0,0.9999999999,0.19690735605014043,0.7876294242005617
0.9570675122464802,0.0,1.0,0.9999999999,0.16636306872376935,0.6654522748950774
0.0,1.0,1.0,0.9999999999,0.11542228011127165,0.4616891204450866
0.9574778398910824,0.0,1.0,0.9999999999,0.18163652817571868,0.7265461127028747
0.9414650951835482,0.0,1.0,0.9999999999,0.19710240274382052,0.7884096109752821
0.0,0.0,1.0,0.9999999999,0.15886742104172155,0.6354696841668862
0.0,0.0,1.0,0.9999999999,0.2211259215459817,0.8845036861839268
0.960445753631402,0.0,1.0,0.9999999999,0.9954088654644095,0.9816354618576383
0.9730633536033104,0.0,1.0,0.9999999999,0.1368222588491269,0.5472890353965076
0.9815402133268577,0.5,1.0,0.9999999999,0.4585430979387844,0.8341723917551376
0.9546501430099671,0.0,1.0,0.9999999999,0.17951089248835334,0.7180435699534133
0.9862923290994497,1.0,1.0,0.9999999999,0.5224859397813331,0.8899437591253323
0.9751862377774634,0.5,1.0,0.9999999999,0.9641498140104243,0.8565992560416975
0.9344862504859459,0.14285714285714285,1.0,0.9999999999,0.1538576322582793,0.6154305290331172
0.9743113054332048,1.0,1.0,0.9999999999,0.7229698853012531,0.8918795412050123
0.9899092163017968,0.625,1.0,0.9999999999,0.3458961036649685,0.8381298692053284
0.8877554416968069,0.0,1.0,0.9999999999,0.17866186261253644,0.7146474504501458
0.9776246947442234,0.0,1.0,0.9999999999,0.1922785393369848,0.7691141573479392
0.9655995942792197,0.9166666666666666,1.0,0.9999999999,0.3075382590556037,0.6846984907678695
0.8121573542675167,0.0,0.0,0.0,0.9526939040101747,0.8107756160406991
0.7565343407263737,1.0,1.0,0.9999999999,0.9161424177846608,0.6645696711386432
0.9645250555939691,0.0,1.0,0.9999999999,0.17954001344347603,0.7181600537739041
0.9020367592051942,0.0,1.0,0.9999999999,0.19846230167377585,0.7938492066951034
0.9789008669477702,1.0,1.0,0.9999999999,0.6076878141340536,0.9307512565362144
0.9099929292108863,1.0,1.0,0.9999999999,0.5926775243000686,0.8707100972002745
0.9097006440304319,0.0,1.0,0.9999999999,0.16177952949597435,0.6471181179838974
0.8737087259282738,1.0,1.0,0.9999999999,0.9934647015011495,0.9738588060045983
0.9004788874588284,1.0,1.0,0.9999999999,0.7019498991271889,0.8077995965087557
0.6575675115115626,1.0,1.0,0.9999999999,0.9903573930180625,0.9614295720722499
0.9829123750139105,1.0,1.0,0.9999999999,0.9634987249497154,0.8539948997988619
0.9860031866502098,1.0,1.0,0.9999999999,0.8407885691133576,0.9631542764534302
0.9851064119859151,1.0,1.0,0.9999999999,0.1851232969838006,0.7404931879352024
0.9873519809605665,1.0,1.0,0.9999999999,0.8199336705126328,0.879734682050531
0.0,0.0,1.0,0.9999999999,0.1755925979444052,0.7023703917776208
0.9783638644749294,1.0,1.0,0.9999999999,0.6958491494010379,0.7833965976041515
0.0,0.3333333333333333,1.0,0.9999999999,0.17573208761472398,0.7029283504588959
0.8842825047174127,0.0,1.0,0.9999999999,0.17880178067456554,0.7152071226982621
0.9868290962469871,1.0,1.0,0.9999999999,0.7029944178542955,0.8119776714171821
